Command Frequency (Hz),Utilization of 1s @ 125Kbit (%),Utilization of 1s @ 250Kbit (%),Utilization of 1s @ 500Kbit (%),Utilization of 1s @ 1Mbit (%)
1,0.2824,0.1412,0.0706,0.0353
10,2.824,1.412,0.706,0.353
50,14.12,7.06,3.53,1.765
100,28.24,14.12,7.06,3.53
300,84.72,42.36,21.18,10.59
600,169.44,84.72,42.36,21.18
